≥Ø¬•,∆¿,ªÛ¥Î∆¿,»®∆¿,≈∏ºÆ,≈∏ºˆ,≈∏¡°,µÊ¡°,æ»≈∏,»®∑±,µµ∑Á,µµΩ«,»Ò∫Ò,∫º≥›,ªÔ¡¯,∫¥ªÏ,¿‹∑Á¿≤,√‚∑Á¿≤,≈∏¿≤,Ω¬∆–
20150328,HH,NE,T,54,42,4,4,10,0,8,0,1,7,7,0,24,0.352941176,0.238095238,0
20150328,NE,HH,B,46,40,5,5,8,2,4,0,0,6,7,1,18,0.304347826,0.2,1
20150328,KT,LT,T,46,35,8,9,14,2,2,1,1,8,8,1,23,0.511111111,0.4,0
20150328,LT,KT,B,42,37,12,12,14,2,4,1,0,3,8,1,17,0.43902439,0.378378378,1
20150328,LG,HT,T,34,29,1,1,7,0,0,0,0,4,6,2,17,0.333333333,0.24137931,0
20150328,HT,LG,B,34,30,3,3,8,1,4,0,1,3,5,1,13,0.323529412,0.266666667,1
20150328,NC,OB,T,38,31,4,4,9,0,4,2,2,4,8,1,17,0.368421053,0.290322581,0
20150328,OB,NC,B,43,35,9,9,12,2,2,0,2,6,3,0,18,0.418604651,0.342857143,1
20150328,SK,SS,T,36,31,1,1,5,0,0,1,0,5,8,1,12,0.277777778,0.161290323,0
20150328,SS,SK,B,42,38,6,6,13,0,6,0,0,4,5,0,23,0.404761905,0.342105263,1
20150329,HH,NE,T,41,32,5,5,9,1,4,2,0,6,9,1,19,0.425,0.28125,1
20150329,NE,HH,B,39,33,3,3,7,0,0,0,0,4,7,0,15,0.333333333,0.212121212,0
20150329,KT,LT,T,40,34,4,4,8,0,2,0,0,6,6,2,20,0.35,0.235294118,0
20150329,LT,KT,B,39,29,4,5,6,2,4,1,0,9,8,0,19,0.41025641,0.206896552,1
20150329,LG,HT,T,43,39,6,6,15,0,6,1,1,3,6,0,17,0.418604651,0.384615385,0
20150329,HT,LG,B,39,30,7,7,9,3,0,0,0,6,2,0,16,0.432432432,0.3,1
20150329,NC,OB,T,38,36,1,1,9,0,0,0,0,2,1,0,20,0.289473684,0.25,0
20150329,OB,NC,B,29,29,4,4,7,2,0,0,0,0,2,2,7,0.24137931,0.24137931,1
20150329,SK,SS,T,40,33,7,7,9,1,2,0,1,4,5,0,15,0.342105263,0.272727273,1
20150329,SS,SK,B,40,34,3,3,8,1,6,0,0,5,4,0,17,0.35,0.235294118,0
20150331,LT,LG,T,38,33,7,7,10,1,0,0,0,5,12,0,15,0.394736842,0.303030303,1
20150331,LG,LT,B,29,26,1,1,6,0,0,2,0,3,5,0,18,0.310344828,0.230769231,0
20150331,SS,KT,T,43,41,8,8,15,2,4,1,0,1,6,1,19,0.380952381,0.365853659,1
20150331,KT,SS,B,39,33,6,6,7,0,0,2,0,5,8,0,17,0.333333333,0.212121212,0
20150401,HT,SK,T,37,32,2,3,5,0,0,1,0,5,12,0,12,0.27027027,0.15625,1
20150401,SK,HT,B,31,28,0,0,4,0,0,1,0,3,10,1,8,0.225806452,0.142857143,0
20150401,LT,LG,T,41,38,2,2,8,1,2,0,0,3,9,1,16,0.268292683,0.210526316,0
20150401,LG,LT,B,43,33,3,3,9,0,0,0,1,8,8,1,17,0.404761905,0.272727273,1
20150401,NE,NC,T,34,31,3,3,6,0,0,0,1,1,6,4,18,0.235294118,0.193548387,0
20150401,NC,NE,B,45,41,9,10,18,3,2,0,1,1,6,0,22,0.454545455,0.43902439,1
20150401,OB,HH,T,44,33,5,6,8,2,2,0,1,10,6,1,23,0.409090909,0.242424242,1
20150401,HH,OB,B,36,33,2,3,7,0,0,0,1,2,9,0,8,0.25,0.212121212,0
20150401,SS,KT,T,37,32,5,5,9,1,2,0,0,4,4,1,6,0.361111111,0.28125,1
20150401,KT,SS,B,39,38,1,1,10,0,2,0,0,1,15,0,27,0.282051282,0.263157895,0
20150402,OB,HH,T,35,32,2,2,5,0,0,0,0,2,10,1,15,0.228571429,0.15625,0
20150402,HH,OB,B,40,28,4,4,7,0,0,0,0,11,11,1,27,0.461538462,0.25,1
20150403,HH,NC,T,39,32,6,6,8,1,0,2,1,2,8,1,15,0.358974359,0.25,0
20150403,NC,HH,B,43,33,11,11,11,1,8,0,0,7,5,1,19,0.463414634,0.333333333,1
20150403,HT,KT,T,41,35,5,5,12,2,0,1,0,6,8,1,18,0.43902439,0.342857143,1
20150403,KT,HT,B,35,30,0,0,5,0,0,1,0,4,9,1,18,0.285714286,0.166666667,0
20150403,OB,LT,T,32,32,0,0,6,0,0,0,0,0,7,1,9,0.1875,0.1875,0
20150403,LT,OB,B,34,29,5,5,8,1,0,1,1,3,8,0,13,0.333333333,0.275862069,1
20150403,SK,NE,T,36,32,3,3,6,2,0,0,0,4,13,1,11,0.277777778,0.1875,0
20150403,NE,SK,B,46,39,14,14,16,3,2,0,0,6,8,1,21,0.5,0.41025641,1
20150403,SS,LG,T,40,37,6,7,9,2,0,0,0,2,3,1,9,0.282051282,0.243243243,1
20150403,LG,SS,B,43,35,3,3,7,0,0,0,1,3,8,1,18,0.30952381,0.2,0
20150404,HT,KT,T,46,42,9,10,14,2,8,2,0,4,10,1,23,0.391304348,0.333333333,1
20150404,KT,HT,B,38,35,2,2,9,0,6,0,0,3,3,1,20,0.315789474,0.257142857,0
20150404,SK,NE,T,46,38,10,10,11,1,2,0,0,7,9,0,17,0.4,0.289473684,1
20150404,NE,SK,B,36,33,3,4,7,0,4,0,0,3,9,1,13,0.277777778,0.212121212,0
20150404,SS,LG,T,33,26,2,2,1,1,2,2,0,6,11,1,12,0.242424242,0.0384615385,0
20150404,LG,SS,B,33,30,3,3,9,0,2,1,0,2,5,1,9,0.34375,0.3,1
20150405,HH,NC,T,33,33,2,2,8,0,0,0,0,0,6,2,11,0.242424242,0.242424242,0
20150405,NC,HH,B,38,33,9,9,11,3,4,0,0,2,6,0,11,0.405405405,0.333333333,1
20150405,HT,KT,T,42,31,4,4,8,0,0,0,0,9,5,2,24,0.425,0.258064516,1
20150405,KT,HT,B,32,30,1,1,6,0,0,0,0,2,5,3,14,0.25,0.2,0
20150405,OB,LT,T,36,35,4,4,8,1,4,1,0,1,7,0,12,0.25,0.228571429,0
20150405,LT,OB,B,48,37,14,16,14,4,0,0,0,11,10,3,21,0.520833333,0.378378378,1
20150405,SK,NE,T,49,39,11,13,13,2,10,0,0,8,9,1,29,0.458333333,0.333333333,1
20150405,NE,SK,B,43,37,7,7,13,3,0,0,2,3,9,0,19,0.395348837,0.351351351,0
20150405,SS,LG,T,36,28,5,5,4,0,4,1,1,7,8,1,8,0.305555556,0.142857143,0
20150405,LG,SS,B,39,34,5,6,12,0,2,2,2,2,7,1,9,0.384615385,0.352941176,1
20150407,KT,SK,T,41,34,2,2,10,1,4,0,0,4,12,0,20,0.368421053,0.294117647,0
20150407,SK,KT,B,38,29,3,3,9,0,0,2,0,7,5,0,17,0.444444444,0.310344828,1
20150407,LG,HH,T,49,40,2,3,10,1,2,0,0,8,15,1,24,0.375,0.25,0
20150407,HH,LG,B,51,39,4,4,14,0,2,1,0,8,6,1,30,0.479166667,0.358974359,1
20150407,LT,SS,T,32,29,1,1,4,1,0,1,0,3,10,1,9,0.21875,0.137931034,0
20150407,SS,LT,B,37,31,3,3,8,1,4,0,1,5,9,0,18,0.351351351,0.258064516,1
20150407,NC,HT,T,41,35,5,5,8,1,6,0,0,4,8,0,21,0.341463415,0.228571429,1
20150407,HT,NC,B,35,31,3,3,6,1,0,1,1,1,9,0,10,0.235294118,0.193548387,0
20150407,NE,OB,T,54,52,16,17,27,4,0,0,0,2,10,1,20,0.537037037,0.519230769,1
20150407,OB,NE,B,35,34,3,4,10,0,2,1,0,1,9,2,14,0.314285714,0.294117647,0
20150408,KT,SK,T,34,32,1,1,5,0,2,0,0,2,11,0,11,0.205882353,0.15625,0
20150408,SK,KT,B,34,28,2,2,8,1,0,1,1,5,3,3,21,0.382352941,0.285714286,1
20150408,LG,HH,T,36,32,2,3,8,1,2,1,0,2,10,0,11,0.294117647,0.25,1
20150408,HH,LG,B,36,29,2,2,7,0,2,1,0,4,7,1,17,0.333333333,0.24137931,0
20150408,LT,SS,T,37,31,2,2,8,0,4,0,2,2,13,1,21,0.305555556,0.258064516,0
20150408,SS,LT,B,31,28,4,4,5,1,2,0,1,2,8,0,4,0.225806452,0.178571429,1
20150408,NC,HT,T,51,38,13,13,14,3,0,1,0,7,5,0,21,0.510204082,0.368421053,1
20150408,HT,NC,B,41,32,4,5,5,1,2,0,0,6,7,0,17,0.341463415,0.15625,0
20150408,NE,OB,T,40,32,4,4,8,0,2,2,0,6,9,0,20,0.384615385,0.25,0
20150408,OB,NE,B,38,33,9,9,11,1,4,0,0,4,7,0,15,0.405405405,0.333333333,1
20150409,KT,SK,T,35,34,2,2,7,1,0,0,0,0,8,0,14,0.228571429,0.205882353,0
20150409,SK,KT,B,47,39,13,13,16,3,0,0,0,8,10,1,25,0.510638298,0.41025641,1
20150409,LG,HH,T,39,27,3,4,5,0,2,0,0,8,5,3,17,0.388888889,0.185185185,0
20150409,HH,LG,B,37,32,4,5,7,1,0,0,0,3,9,0,16,0.305555556,0.21875,1
20150409,LT,SS,T,38,34,4,4,9,1,2,0,0,1,4,1,11,0.324324324,0.264705882,0
20150409,SS,LT,B,42,33,5,5,11,3,4,0,0,6,5,0,21,0.45,0.333333333,1
20150409,NC,HT,T,42,38,4,4,13,1,8,0,1,3,11,0,27,0.380952381,0.342105263,1
