distributor,genre,release_time,screening_rat,director,box_off_num
CJ 엔터테인먼트,드라마,2014-12-17,2,윤제균,14262766
(주)쇼박스,느와르,2012-07-25,3,최동훈,12983841
(주)NEW,코미디,2013-01-23,3,이환경,12811435
(주)쇼박스,액션,2015-07-22,3,최동훈,12706663
CJ 엔터테인먼트,드라마,2012-09-13,3,추창민,12323595
(주)NEW,드라마,2013-12-18,3,양우석,11374879
CJ 엔터테인먼트,SF,2013-08-01,3,봉준호,9350351
(주)쇼박스,드라마,2013-09-11,3,한재림,9135806
롯데엔터테인먼트,SF,2014-08-06,2,이석훈,8666208
CJ 엔터테인먼트,코미디,2014-01-22,3,황동혁,8659725
CJ 엔터테인먼트,드라마,2015-12-16,2,이석훈,7759711
롯데엔터테인먼트,액션,2011-08-10,3,김한민,7482180
CJ E&M Pictures,코미디,2011-05-04,3,강형철,7453715
CJ 엔터테인먼트,액션,2013-01-30,3,류승완,7166532
(주)쇼박스,느와르,2015-11-19,4,우민호,7072501
(주)쇼박스,액션,2013-06-05,3,장철수,6959083
CJ 엔터테인먼트,액션,2010-08-04,4,이정범,6178665
(주)NEW,공포,2013-08-14,3,허정,5604106
(주)NEW,느와르,2013-07-03,3,조의석,5508299
CJ 엔터테인먼트,미스터리,2015-11-05,3,장재현,5443049
CJ E&M 영화부문,드라마,2012-12-25,2,김지훈,5181014
CGV아트하우스,다큐멘터리,2014-11-27,1,진모영,4802169
쇼박스(주)미디어플렉스,코미디,2011-01-27,2,김석윤,4786259
(주)쇼박스,느와르,2012-02-02,4,윤종빈,4720050
(주)NEW,멜로/로맨스,2012-05-17,3,민규동,4598985
CJ 엔터테인먼트,드라마,2012-07-05,3,박정우,4515833
롯데엔터테인먼트,멜로/로맨스,2012-03-22,2,이용주,4113446
롯데엔터테인먼트,드라마,2014-09-03,4,강형철,4015364
(주)쇼박스,코미디,2015-02-11,2,김석윤,3872015
롯데엔터테인먼트,드라마,2014-04-30,3,이재규,3849696
(주)쇼박스,느와르,2014-07-03,4,조범구,3566844
(주)NEW,드라마,2012-01-18,3,정지영,3460212
(주)쇼박스,느와르,2014-05-29,3,김성훈,3450305
시네마서비스,드라마,2010-07-14,4,강우석,3350311
(주)아이필름코퍼레이션,드라마,2013-08-14,3,김성수,3117859
NEW,코미디,2010-12-22,2,김영탁,3019960
CJ 엔터테인먼트,멜로/로맨스,2011-12-01,2,황인호,3009406
CJ 엔터테인먼트,드라마,2010-06-02,4,김대우,2985556
롯데엔터테인먼트,느와르,2013-11-14,4,곽경택,2971475
인벤트 디,액션,2012-11-29,3,조근현,2963652
(주)쇼박스,액션,2011-07-20,3,장훈,2945151
CJ 엔터테인먼트,느와르,2010-10-28,4,류승완,2723028
롯데엔터테인먼트,멜로/로맨스,2010-09-16,2,김현석,2684798
